"our_journal_name","scimago_title","sjr_score","quartile","h_index","subject_areas","open_access","match_type","match_score","paper_count"
"Natural Product Research","Natural Product Research","0.398","Q2","76","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry","No","exact","1.0","1"
"Zeitschrift für Kunstgeschichte","Zeitschrift fur Kunstgeschichte","0.1","Q4","9","Arts and Humanities","No","exact","1.0","1"
"American Biology Teacher","American Biology Teacher","0.219","Q3","37","Agricultural and Biological Sciences; Social Sciences","No","exact","1.0","1"
"Biochemical Engineering Journal","Biochemical Engineering Journal","0.772","Q2","150","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Environmental Science","No","exact","1.0","1"
"Acta Physiologica","Acta Physiologica","1.528","Q1","135","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"Australian and New Zealand Journal of Psychiatry","Australian and New Zealand Journal of Psychiatry","1.713","Q1","140","Medicine","No","exact","1.0","1"
"Current Research in Food Science","Current Research in Food Science","1.408","Q1","41","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology","Yes","exact","1.0","1"
"Chinese Journal of Natural Medicines","Chinese Journal of Natural Medicines","0.938","Q1","55","Medicine; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","1"
"Journal of Visualized Experiments","Journal of Visualized Experiments","0.431","Q2","141","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology; Neuroscience","No","exact","1.0","1"
"Society & Animals","Society and Animals","0.183","Q2","54","Arts and Humanities; Social Sciences; Veterinary","No","exact","1.0","1"
"Food Science and Technology","Food Science and Technology (United States)","0.204","Q3","6","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Nursing","No","exact","1.0","1"
"Boletim Paranaense de Geociências","Boletim Paranaense de Geosciencias","0.126","Q4","14","Earth and Planetary Sciences","No","fuzzy","0.9851","1"
"Global and Planetary Change","Global and Planetary Change","1.431","Q1","172","Earth and Planetary Sciences; Environmental Science","No","exact","1.0","1"
"Nature Climate Change:","Nature Climate Change","8.046","Q1","296","Environmental Science; Social Sciences","No","exact","1.0","1"
"Tourism in Marine Environments","Tourism in Marine Environments","0.198","Q3","26","Business, Management and Accounting; Social Sciences","No","exact","1.0","1"
"European Food Research and Technology","European Food Research and Technology","0.744","Q1","131","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Engineering","No","exact","1.0","1"
"Geological Research in Moravia and Silesia","Geological Research in Moravia and Silesia","0.112","Q4","4","Earth and Planetary Sciences","Yes","exact","1.0","1"
"Journal of Bombay Natural History Society","Journal of the Bombay Natural History Society","0.116","Q4","8","Environmental Science","No","fuzzy","0.9535","1"
"Interface","Interface: Communication, Health, Education","0.298","Q2","28","Social Sciences","Yes","substring","0.95","1"
"BMC Biochemistry","BMC Chemistry","0.658","Q2","37","Chemistry","Yes","fuzzy","0.8966","1"
"Revista Peruana de Biología","Revista Peruana de Biologia","0.255","Q3","28","Agricultural and Biological Sciences","Yes","fuzzy","0.963","1"
"Ieee Access","IEEE Access","0.849","Q1","290","Computer Science; Engineering; Materials Science","Yes","exact","1.0","1"
"BMJ Case Report","BMJ Case Reports","0.219","Q4","45","Medicine","Yes","fuzzy","0.9767","1"
"Cell Stress and Chaperones","Cell Stress and Chaperones","0.876","Q2","103","Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","1"
"Environmental Science","Environmental Science: Processes and Impacts","1.456","Q1","128","Environmental Science; Medicine","No","substring","0.95","1"
"The Sedimentary Record","Sedimentary Record","0.381","Q2","2","Earth and Planetary Sciences","Yes","exact","1.0","1"
"Cell Cycle","Cell Cycle","0.937","Q1","175","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
"Management of Biological Invasions","Management of Biological Invasions","0.434","Q2","34","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","1"
"Coral Reef","Coral Reefs","0.837","Q1","128","Agricultural and Biological Sciences","No","fuzzy","0.9524","1"
"BMC Zoology","BMC Zoology","0.513","Q2","19","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Colloids and Surfaces B-Biointerfaces","Colloids and Surfaces B: Biointerfaces","0.978","Q1","207","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Medicine; Physics and Astronomy","No","exact","1.0","1"
"Behavioural Brain Research","Behavioural Brain Research","0.919","Q2","201","Neuroscience","No","exact","1.0","1"
"Environmental Science & Policy","Environmental Science and Policy","1.715","Q1","160","Environmental Science; Social Sciences","No","exact","1.0","1"
"AMB Express","AMB Express","0.832","Q1","72","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology","Yes","exact","1.0","1"
"Asian Journal of Biology","Asian Journal of Urology","0.675","Q2","31","Medicine","Yes","fuzzy","0.9167","1"
"Palaeontologia Polonica","Palaeontologia Electronica","0.617","Q2","49","Earth and Planetary Sciences","Yes","fuzzy","0.8571","1"
"Revista Mvz Cordoba","Revista MVZ Cordoba","0.154","Q4","17","Agricultural and Biological Sciences; Veterinary","Yes","exact","1.0","1"
"Diving and Hyperbaric Medicine","Diving and Hyperbaric Medicine","0.454","Q3","29","Medicine","No","exact","1.0","1"
"Applied Ecology and Environmental Research","Applied Ecology and Environmental Research","0.238","Q3","48","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Chemical Communications","Chemical Communications","1.037","Q1","387","Chemical Engineering; Chemistry; Materials Science","No","exact","1.0","1"
"Soft Computing","Soft Computing","0.674","Q2","120","Computer Science; Mathematics","No","exact","1.0","1"
"Clinical Oral Implants Research","Clinical Oral Implants Research","1.839","Q1","191","Dentistry","No","exact","1.0","1"
"Energy Conversion and Management","Energy Conversion and Management","2.659","Q1","274","Energy","No","exact","1.0","1"
"The Journal of Emergency Medicine","Journal of Emergency Medicine","0.47","Q2","97","Medicine","No","exact","1.0","1"
"Scientifica","Scientifica","0.53","Q2","40","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","1"
"Biomedical Materials","Biomedical Materials (Bristol)","0.716","Q2","94","Business, Management and Accounting; Chemical Engineering; Chemistry; Engineering; Materials Science","No","exact","1.0","1"
"mBio","mBio","1.885","Q1","180","Immunology and Microbiology","Yes","exact","1.0","1"
"Journal of Clinical Microbiology","Journal of Clinical Microbiology","1.878","Q1","295","Medicine","No","exact","1.0","1"
"Acta Academiae Medicinae Sinicae","Acta Academiae Medicinae Sinicae","0.162","Q4","20","Medicine","No","exact","1.0","1"
"Studia Geologica Polonica","Studia Geologica Polonica","0.296","Q3","18","Earth and Planetary Sciences","No","exact","1.0","1"
"Experimental Neurology","Experimental Neurology","1.499","Q1","212","Neuroscience","No","exact","1.0","1"
"Acta Geologica Taiwanica","Acta Neurologica Taiwanica","0.237","Q4","28","Medicine; Neuroscience","Yes","fuzzy","0.92","1"
"Frontiers in Earth Science","Frontiers in Earth Science","0.64","Q2","64","Earth and Planetary Sciences","Yes","exact","1.0","1"
"Antioxidants","Antioxidants","1.484","Q1","133","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","1"
"Earth Sciences History","Earth Sciences History","0.129","Q4","11","Arts and Humanities; Earth and Planetary Sciences","No","exact","1.0","1"
"Ore Geology Reviews","Ore Geology Reviews","1.261","Q1","137","Earth and Planetary Sciences","Yes","exact","1.0","1"
"Analytical Chemistry","Analytical Chemistry","1.533","Q1","380","Chemistry","No","exact","1.0","1"
"Journal of Veterinary Dentistry","Journal of Veterinary Dentistry","0.354","Q2","35","Veterinary","No","exact","1.0","1"
"Biological Journal of The Linnean Society","Biological Journal of the Linnean Society","0.64","Q2","129","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Natural and Engineering Sciences","Natural and Engineering Sciences","0.253","Q3","10","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","1"
"Eneuro","eNeuro","1.087","Q1","68","Medicine; Neuroscience","Yes","exact","1.0","1"
"npj Ocean Sustainability","NPJ Ocean Sustainability","1.513","Q1","11","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","1"
"Journal of Biomaterials Science–Polymer Edition","Journal of Biomaterials Science, Polymer Edition","0.62","Q2","110","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science","No","exact","1.0","1"
"BMC Genomic","BMC Genomics","1.003","Q1","208","Biochemistry, Genetics and Molecular Biology","Yes","fuzzy","0.9565","1"
"Chiang Mai Journal of Science","Chiang Mai Journal of Science","0.209","Q3","30","Multidisciplinary","No","exact","1.0","1"
"Experimental Thermal and Fluid Science","Experimental Thermal and Fluid Science","0.758","Q1","145","Chemical Engineering; Energy; Engineering","No","exact","1.0","1"
"Journal of Systematics and Evolution","Journal of Systematics and Evolution","1.108","Q1","65","Agricultural and Biological Sciences","No","exact","1.0","1"
"Cutis","Cutis","0.281","Q3","62","Medicine","No","exact","1.0","1"
"Marine Technology Society Journal","Marine Technology Society Journal","0.245","Q3","52","Earth and Planetary Sciences; Engineering","No","exact","1.0","1"
"European Journal of Archaeology","European Journal of Archaeology","0.923","Q1","42","Arts and Humanities; Social Sciences","No","exact","1.0","1"
"Clinical Neuroscience","Clinical Science","1.834","Q1","166","Medicine","No","fuzzy","0.8649","1"
"Acta Palaeontologica Romaniae","Acta Palaeontologica Romaniae","0.426","Q2","6","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","No","exact","1.0","1"
"Biologist","Biologist","0.101","Q4","25","Agricultural and Biological Sciences","No","exact","1.0","1"
"Ecological Economics","Ecological Economics","2.088","Q1","262","Economics, Econometrics and Finance; Environmental Science","No","exact","1.0","1"
"Journal of Vitaminology","Journal of Criminology","0.629","Q1","50","Social Sciences","No","fuzzy","0.8889","1"
"Kidney and Blood Pressure Research","Kidney and Blood Pressure Research","0.728","Q2","64","Medicine","Yes","exact","1.0","1"
"Comprehensive Physiology","Comprehensive Physiology","1.759","Q1","130","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
"European Journal of Neuroscience","European Journal of Neuroscience","1.153","Q2","232","Neuroscience","No","exact","1.0","1"
"American Paleontologist","American Entomologist","0.197","Q4","48","Agricultural and Biological Sciences","No","fuzzy","0.8636","1"
"Tropical Natural History","Tropical Natural History","0.237","Q3","9","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","No","exact","1.0","1"
"Veterinary Radiology and Ultrasound","Veterinary Radiology and Ultrasound","0.631","Q1","76","Veterinary","No","exact","1.0","1"
"Arctic Science","Arctic Science","1.001","Q1","19","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","1"
"Latin American Antiquity","Latin American Antiquity","0.733","Q1","47","Arts and Humanities; Social Sciences","No","exact","1.0","1"
"Nano Letters","Nano Letters","2.967","Q1","569","Chemical Engineering; Chemistry; Engineering; Materials Science; Physics and Astronomy","No","exact","1.0","1"
"Geophysical Research Letter","Geophysical Research Letters","1.802","Q1","337","Earth and Planetary Sciences","Yes","fuzzy","0.9818","1"
"Bulletin of the New Jersey Academy of Sciences","Bulletin of Chinese Academy of Sciences","0.734","Q1","32","Engineering; Social Sciences","No","fuzzy","0.8706","1"
"Journal of Fluid Mechanics","Journal of Fluid Mechanics","1.471","Q1","271","Engineering; Mathematics; Physics and Astronomy","No","exact","1.0","1"
"Acta Biologica Colombiana","Acta Biologica Colombiana","0.173","Q4","22","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Environmental Advances","Environmental Advances","1.288","Q1","35","Environmental Science","Yes","exact","1.0","1"
"International Journal of Paleopathology","International Journal of Paleopathology","0.708","Q1","40","Arts and Humanities; Medicine","No","exact","1.0","1"
"International Journal of Environmental Research and Public Health","International Journal of Environmental Research and Public Health","0.919","Q2","229","Environmental Science; Medicine","Yes","exact","1.0","1"
"Proceedings of the International Conference on Geology","Proceedings of the International Conference on Speech Prosody","0.203","-","24","Social Sciences","No","fuzzy","0.887","1"
"Journal of Fluids and Structures","Journal of Fluids and Structures","1.043","Q1","135","Engineering","No","exact","1.0","1"
"MicrobiologyOpen","MicrobiologyOpen","0.99","Q2","65","Immunology and Microbiology","Yes","exact","1.0","1"
"Reproductive Biology and Endocrinology","Reproductive Biology and Endocrinology","1.265","Q1","118","Biochemistry, Genetics and Molecular Biology; Medicine","Yes","exact","1.0","1"
"Australian Journal of Agricultural and Resource Economics","Australian Journal of Agricultural and Resource Economics","0.928","Q1","64","Agricultural and Biological Sciences; Economics, Econometrics and Finance","No","exact","1.0","1"
